IPUMS Code	IPUMS Title	ONET Title	R	I	A	S	E	C
3540	Healthcare Practitioners and Technical Occupations	Podiatrists	4.33	7.0	2.0	6.0	2.67	2.0
3600	Nursing, Psychiatric, and Home Health Aides	Home Health Aides	5.0	2.0	2.0	7.0	2.33	2.67
3610	Occupational Therapy Assistants and Aides	Occupational Therapy Assistants	4.33	3.33	3.0	7.0	1.67	2.67
3620	Physical Therapist Assistants and Aides	Physical Therapist Assistants	5.33	4.0	1.67	6.67	2.33	2.67
3630	Massage Therapists	Massage Therapists	5.67	3.67	1.67	6.33	2.33	3.0
3650	Medical Assistants and Other Healthcare Support Occupations	Medical Assistants	4.33	3.0	1.33	6.33	2.33	6.33
3700	First-Line Supervisors of Correctional Officers	First-Line Supervisors of Correctional Officers	4.67	2.0	1.0	4.0	7.0	5.0
3710	First-Line Supervisors of Police and Detectives	First-Line Supervisors of Police and Detectives	3.67	2.33	1.33	4.67	7.0	4.33
3740	Firefighters	Municipal Firefighters	7.0	2.33	1.33	5.33	3.67	1.33
3750	Fire Inspectors	Fire Inspectors	6.0	3.33	1.33	3.67	3.67	6.33
3800	Sheriffs, Bailiffs, Correctional Officers, and Jailers	Bailiffs	6.33	1.67	1.0	2.67	4.67	4.67
3820	Police Officers and Detectives	Probation Officers and Correctional Treatment Specialists	1.33	2.33	2.33	6.67	5.0	4.67
3900	Animal Control	Animal Control Workers	6.67	3.33	1.33	4.0	2.0	4.0
3910	Private Detectives and Investigators	Private Detectives and Investigators	3.67	3.0	1.33	3.33	6.67	5.0
3930	Security Guards and Gaming Surveillance Officers	Security Guards	7.0	2.33	1.33	3.33	4.33	5.33
3940	Crossing Guards	Crossing Guards	4.0	1.0	1.33	5.67	5.33	2.0
4000	Chefs and Cooks	Chefs and Head Cooks	5.67	1.33	4.67	3.33	7.0	2.67
4010	First-Line Supervisors of Food Preparation and Serving Workers	First-Line Supervisors of Food Preparation and Serving Workers	4.33	1.33	1.67	3.67	7.0	6.0
4030	Food Preparation Workers	Food Preparation Workers	6.67	1.67	1.33	2.67	2.67	6.0
4040	Bartenders	Bartenders	4.33	1.33	2.0	3.67	5.67	5.67
4050	Combined Food Preparation and Serving Workers, Including Fast Food	Combined Food Preparation and Serving Workers, Including Fast Food	5.67	1.0	1.33	3.33	4.0	6.67
4060	Counter Attendant, Cafeteria, Food Concession, and Coffee Shop	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	5.67	1.0	1.33	5.33	3.67	2.0
4110	Waiters and Waitresses	Waiters and Waitresses	4.33	1.0	2.33	5.67	5.33	5.0
4120	Food Servers, Nonrestaurant	Food Servers, Nonrestaurant	4.33	1.0	1.33	6.33	4.0	2.67
4140	Dishwashers	Dishwashers	7.0	1.33	1.0	1.33	2.33	4.0
4150	Host and Hostesses, Restaurant, Lounge, and Coffee Shop	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3.0	1.0	1.33	4.33	6.0	3.0
4200	First-Line Supervisors of Housekeeping and Janitorial Workers	First-Line Supervisors of Housekeeping and Janitorial Workers	5.0	1.33	1.33	2.67	7.0	5.33
4210	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	5.67	2.0	1.33	2.67	7.0	5.0
4220	Janitors and Building Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
4220	Janitors and Building Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
4230	Maids and Housekeeping Cleaners	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
4230	Maids and Housekeeping Cleaners	Maids and Housekeeping Cleaners	6.67	1.33	1.0	3.0	2.33	5.0
4240	Pest Control Workers	Pest Control Workers	7.0	2.0	1.33	2.0	3.0	4.0
4300	First-Line Supervisors of Gaming Workers	First-Line Supervisors of Logging Workers	5.67	2.0	1.33	3.0	7.0	4.33
4320	First-Line Supervisors of Personal Service Workers	First-Line Supervisors of Personal Service Workers	2.33	1.0	2.33	4.67	7.0	5.0
4340	Animal Trainers	Animal Trainers	7.0	3.67	2.0	3.67	2.67	3.67
4350	Nonfarm Animal Caretakers	Nonfarm Animal Caretakers	6.67	2.33	1.0	3.33	3.0	5.33
4420	Ushers, Lobby Attendants, and Ticket Takers	Ushers, Lobby Attendants, and Ticket Takers	4.33	1.0	1.33	5.0	4.67	5.0
4460	Funeral Service Workers and Embalmers	Embalmers	6.67	4.0	1.33	3.0	3.33	4.67
4500	Barbers	Barbers	6.0	1.67	2.33	3.33	4.33	4.33
4510	Hairdressers, Hairstylists, and Cosmetologists	Hairdressers, Hairstylists, and Cosmetologists	4.33	1.33	6.33	4.67	5.33	3.33
4520	Personal Appearance Workers	Amusement and Recreation Attendants	4.33	1.0	1.33	3.33	6.0	5.33
4530	Baggage Porters, Bellhops, and Concierges	Baggage Porters and Bellhops	7.0	1.0	1.0	3.33	3.0	4.33
4530	Baggage Porters, Bellhops, and Concierges	Concierges	2.67	1.0	2.67	5.67	5.33	3.33
4540	Tour and Travel Guides	Travel Guides	3.0	2.0	2.67	4.0	6.33	5.67
4600	Childcare Workers	Childcare Workers	2.67	1.67	5.0	7.0	3.0	3.33
4610	Personal Care Aides	Personal Care Aides	5.33	1.67	1.33	7.0	2.33	4.33
4620	Recreation and Fitness Workers	Fitness Trainers and Aerobics Instructors	5.33	1.67	3.0	7.0	4.33	1.33
4620	Recreation and Fitness Workers	Recreation Workers	3.67	1.0	4.33	6.33	5.67	2.33
4640	Residential Advisors	Residential Advisors	2.33	1.33	2.67	6.67	5.33	4.67
4700	First-Line Supervisors of Sales Workers	First-Line Supervisors of Non-Retail Sales Workers	2.33	2.0	1.67	4.33	7.0	5.33
4700	First-Line Supervisors of Sales Workers	First-Line Supervisors of Retail Sales Workers	3.0	1.0	1.67	4.33	7.0	5.33
4720	Cashiers	Cashiers	2.67	1.0	1.33	2.67	4.33	6.67
4720	Cashiers	Gaming Change Persons and Booth Cashiers	3.33	1.0	1.0	2.0	4.67	6.67
4740	Counter and Rental Clerks	Counter and Rental Clerks	2.33	1.0	1.33	2.67	5.0	5.67
4750	Parts Salespersons	Parts Salespersons	4.0	1.33	1.0	3.0	6.67	6.0
4760	Retail Salespersons	Retail Salespersons	2.67	1.0	1.67	3.33	7.0	4.0
4800	Advertising Sales Agents	Advertising Sales Agents	1.0	2.0	4.33	2.33	7.0	4.67
4810	Insurance Sales Agents	Insurance Sales Agents	2.33	1.67	1.33	3.67	7.0	5.33
4830	Travel Agents	Travel Agents	2.33	1.33	2.67	3.67	7.0	5.67
4850	Sales Representatives, Wholesale and Manufacturing	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	3.33	3.33	1.67	2.67	7.0	5.33
4850	Sales Representatives, Wholesale and Manufacturing	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	3.67	2.0	1.0	3.0	6.0	6.33
4900	Models, Demonstrators, and Product Promoters	Demonstrators and Product Promoters	3.67	1.0	2.0	2.67	7.0	5.0
4900	Models, Demonstrators, and Product Promoters	Models	4.67	1.0	6.33	1.33	5.33	2.67
4920	Real Estate Brokers and Sales Agents	Real Estate Brokers	3.33	1.0	1.33	3.33	7.0	5.67
4930	Sales Engineers	Sales Engineers	5.0	4.0	2.0	2.33	7.0	3.0
4940	Telemarketers	Telemarketers	3.33	1.0	1.33	2.33	7.0	5.67
4950	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	Door-To-Door Sales Workers, News and Street Vendors, and Related Workers	3.0	1.0	2.33	3.0	7.0	4.67
5000	First-Line Supervisors of Office and Administrative Support Workers	First-Line Supervisors of Office and Administrative Support Workers	1.67	1.33	1.67	4.33	6.67	5.67
5010	Switchboard Operators, Including Answering Service	Switchboard Operators, Including Answering Service	3.0	1.0	1.0	3.67	4.67	6.67
5020	Telephone Operators	Telephone Operators	4.0	1.0	1.33	4.33	4.0	6.67
5100	Bill and Account Collectors	Bill and Account Collectors	2.0	1.33	1.0	2.33	5.67	6.67
5120	Bookkeeping, Accounting, and Auditing Clerks	Bookkeeping, Accounting, and Auditing Clerks	2.33	2.33	1.0	1.67	3.67	7.0
5130	Gaming Cage Workers	Gaming Cage Workers	4.0	1.33	1.0	2.67	4.67	7.0
5140	Payroll and Timekeeping Clerks	Payroll and Timekeeping Clerks	1.67	1.0	1.0	2.0	3.67	7.0
5150	Procurement Clerks	Procurement Clerks	2.0	1.67	1.0	1.0	4.33	7.0
5160	Bank Tellers	Tellers	2.67	1.33	1.0	2.0	4.67	6.67
5200	Brokerage Clerks	Brokerage Clerks	2.67	1.67	1.0	3.0	5.33	7.0
5220	Court, Municipal, and License Clerks	License Clerks	1.33	1.33	1.0	3.0	4.67	6.67
5230	Credit Authorizers, Checkers, and Clerks	Credit Authorizers	1.67	1.33	1.0	2.33	5.0	6.33
5240	Customer Service Representatives	Customer Service Representatives	1.67	1.33	1.0	4.33	6.33	4.33
5250	Eligibility Interviewers, Government Programs	Eligibility Interviewers, Government Programs	1.33	1.0	1.67	6.0	4.33	5.67
5260	File Clerks	File Clerks	4.67	2.33	1.0	2.33	3.67	7.0
5300	Hotel, Motel, and Resort Desk Clerks	Hotel, Motel, and Resort Desk Clerks	2.33	1.0	1.33	4.0	5.33	6.0
5310	Interviewers, Except Eligibility and Loan	Interviewers, Except Eligibility and Loan	1.33	1.33	1.33	4.67	5.33	6.0
5320	Library Assistants, Clerical	Library Assistants, Clerical	5.33	1.67	1.0	4.0	2.67	7.0
5330	Loan Interviewers and Clerks	Loan Interviewers and Clerks	1.33	1.33	1.0	2.67	4.67	7.0
5340	New Account Clerks	New Accounts Clerks	2.33	2.0	1.0	4.33	5.67	6.67
5350	Correspondent clerks and order clerks	Order Clerks	3.0	1.33	1.33	4.0	5.0	7.0
5360	Human Resources Assistants, Except Payroll and Timekeeping	Human Resources Assistants, Except Payroll and Timekeeping	1.33	1.67	1.0	3.33	4.67	7.0
5400	Receptionists and Information Clerks	Receptionists and Information Clerks	1.67	1.0	1.0	3.33	5.33	6.67
5410	Reservation and Transportation Ticket Agents and Travel Clerks	Reservation and Transportation Ticket Agents and Travel Clerks	1.67	1.33	1.67	4.0	5.67	6.33
5500	Cargo and Freight Agents	Cargo and Freight Agents	3.67	1.67	1.0	2.33	5.67	6.33
5510	Couriers and Messengers	Couriers and Messengers	7.0	1.0	1.0	1.67	3.0	3.33
5520	Dispatchers	Police, Fire, and Ambulance Dispatchers	4.67	2.67	1.0	3.33	4.0	6.67
