IPUMS Title	ONET Title
Helpers--Installation, Maintenance, and Repair Workers	Helpers--Installation, Maintenance, and Repair Workers
Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers	Wind Turbine Service Technicians
Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers	Signal and Track Switch Repairers
First-Line Supervisors of Production and Operating Workers	First-Line Supervisors of Production and Operating Workers
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
Electrical, Electronics, and Electromechanical Assemblers	Electro-Mechanical Technicians
Electrical, Electronics, and Electromechanical Assemblers	Boilermakers
Engine and Other Machine Assemblers	Engine and Other Machine Assemblers
Structural Metal Fabricators and Fitters	Structural Metal Fabricators and Fitters
Assemblers and Fabricators	Assemblers and Fabricators, All Other
Bakers	Bakers
Butchers and Other Meat, Poultry, and Fish Processing Workers	Butchers and Meat Cutters
Butchers and Other Meat, Poultry, and Fish Processing Workers	Sheet Metal Workers
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
Food Batchmakers	Food Batchmakers
Food Cooking Machine Operators and Tenders	Food Cooking Machine Operators and Tenders
Food Processing	Food Processing Workers, All Other
Computer Control Programmers and Operators	Computer Programmers
Computer Control Programmers and Operators	Software Developers, Systems Software
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Forging Machine Setters, Operators, and Tenders, Metal and Plastic
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
Rolling Machine Setters, Operators, and Tenders, metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
Rolling Machine Setters, Operators, and Tenders, metal and Plastic	Forging Machine Setters, Operators, and Tenders, Metal and Plastic
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
Machinists	Machinists
Metal Furnace Operators, Tenders, Pourers, and Casters	Janitors and Cleaners, Except Maids and Housekeeping Cleaners
Metal Furnace Operators, Tenders, Pourers, and Casters	Amusement and Recreation Attendants
Model Makers and Patternmakers, Metal and Plastic	Patternmakers, Metal and Plastic
Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
